"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22415-9778","PF","Josh","Josh McRoberts","McRoberts","13.172726717862217","22","3500","SA@DAL","DAL","SA","O","Lower body","",""
"22415-23612","SG","Marcus","Marcus Georges-Hunt","Georges-Hunt","0.9666666454739041","9","3500","PHI@MIN","MIN","PHI","","","",""
"22415-66109","PF","Skal","Skal Labissiere","Labissiere","15.595832824707031","24","3500","PHO@SAC","SAC","PHO","","","",""
"22415-12349","PF","Luke","Luke Babbitt","Babbitt","12.569565482761549","23","3500","ATL@CLE","ATL","CLE","GTD","Back","",""
"22415-12354","C","Cole","Cole Aldrich","Aldrich","1.3399999618530274","5","3500","PHI@MIN","MIN","PHI","","","",""
"22415-15947","SF","Reggie","Reggie Bullock","Bullock","7.483333587646484","12","3500","DEN@DET","DET","DEN","","","",""
"22415-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","13.205555386013454","18","3500","PHI@MIN","MIN","PHI","O","Foot","",""
"22415-15955","PF","James Michael","James Michael McAdoo","McAdoo","4","1","3500","PHI@MIN","PHI","MIN","","","",""
"22415-58457","SF","Devin","Devin Robinson","Robinson","0","0","3500","WAS@BKN","WAS","BKN","","","",""
"22415-59483","PF","Chris","Chris McCullough","McCullough","7.316666920979817","6","3500","WAS@BKN","WAS","BKN","","","",""
"22415-43109","PF","Alec","Alec Peters","Peters","6.300000190734863","2","3500","PHO@SAC","PHO","SAC","","","",""
"22415-15469","PF","Quincy","Quincy Acy","Acy","11.25500030517578","20","3500","WAS@BKN","BKN","WAS","","","",""
"22415-40562","SG","Josh","Josh Hart","Hart","8.555000305175781","20","3500","LAL@NY","LAL","NY","","","",""
"22415-81528","SG","Yakuba","Yakuba Ouattara","Ouattara","0","0","3500","WAS@BKN","BKN","WAS","","","",""
"22415-15994","C","Jack","Jack Cooley","Cooley","4.699999809265137","1","3500","PHO@SAC","SAC","PHO","","","",""
"22415-16506","PG","Dwight","Dwight Buycks","Buycks","0","0","3500","DEN@DET","DET","DEN","","","",""
"22415-41083","PF","Luke","Luke Kornet","Kornet","0","0","3500","LAL@NY","NY","LAL","","","",""
"22415-23676","SG","Damyean","Damyean Dotson","Dotson","5.6058825324563415","17","3500","LAL@NY","NY","LAL","","","",""
"22415-41597","SF","Johnathan","Johnathan Motley","Motley","0","0","3500","SA@DAL","DAL","SA","","","",""
"22415-12424","C","Timofey","Timofey Mozgov","Mozgov","10.527777777777779","18","3500","WAS@BKN","BKN","WAS","","","",""
"22415-63126","SF","Cedi","Cedi Osman","Osman","3.93684226588199","19","3500","ATL@CLE","CLE","ATL","","","",""
"22415-66203","SG","Malachi","Malachi Richardson","Richardson","7.016666412353516","12","3500","PHO@SAC","SAC","PHO","","","",""
"22415-66205","PF","Tyler","Tyler Lydon","Lydon","0","1","3500","DEN@DET","DEN","DET","","","",""
"22415-70819","PF","Dragan","Dragan Bender","Bender","12.071428571428571","28","3500","PHO@SAC","PHO","SAC","","","",""
"22415-70821","C","Georgios","Georgios Papagiannis","Papagiannis","6.719999694824219","5","3500","PHO@SAC","SAC","PHO","","","",""
"22415-23717","SF","Shabazz","Shabazz Muhammad","Muhammad","7.322727550159801","22","3500","PHI@MIN","MIN","PHI","","","",""
"22415-70822","SF","Juan","Juan Hernangomez","Hernangomez","9.153846153846153","13","3500","DEN@DET","DEN","DET","","","",""
"22415-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","10.184000244140625","25","3500","PHI@MIN","PHI","MIN","","","",""
"22415-70827","C","Ivica","Ivica Zubac","Zubac","1.1333333651224773","6","3500","LAL@NY","LAL","NY","","","",""
"22415-70826","SG","Furkan","Furkan Korkmaz","Korkmaz","3.5333334604899087","6","3500","PHI@MIN","PHI","MIN","","","",""
"22415-23744","SF","Justin","Justin Anderson","Anderson","9.490000152587891","10","3500","PHI@MIN","PHI","MIN","O","Lower leg","",""
"22415-42689","PG","Tyler","Tyler Ennis","Ennis","4.608333269755046","12","3500","LAL@NY","LAL","NY","","","",""
"22415-49349","PG","Isaiah","Isaiah Taylor","Taylor","11.963158055355674","19","3500","ATL@CLE","ATL","CLE","","","",""
